dataset;method;cls;nr_events;metric;score
sepsis_1;cluster_laststate;rf;6;auc;0.3979166666666667
sepsis_1;cluster_laststate;rf;6;prec;0.0
sepsis_1;cluster_laststate;rf;6;rec;0.0
sepsis_1;cluster_laststate;rf;6;fscore;0.0
sepsis_1;cluster_laststate;rf;7;auc;0.4046296296296296
sepsis_1;cluster_laststate;rf;7;prec;0.0
sepsis_1;cluster_laststate;rf;7;rec;0.0
sepsis_1;cluster_laststate;rf;7;fscore;0.0
sepsis_1;cluster_laststate;rf;8;auc;0.4171296296296297
sepsis_1;cluster_laststate;rf;8;prec;0.0
sepsis_1;cluster_laststate;rf;8;rec;0.0
sepsis_1;cluster_laststate;rf;8;fscore;0.0
sepsis_1;cluster_laststate;rf;9;auc;0.3719223484848485
sepsis_1;cluster_laststate;rf;9;prec;0.0
sepsis_1;cluster_laststate;rf;9;rec;0.0
sepsis_1;cluster_laststate;rf;9;fscore;0.0
sepsis_1;cluster_laststate;rf;10;auc;0.43990384615384615
sepsis_1;cluster_laststate;rf;10;prec;0.0
sepsis_1;cluster_laststate;rf;10;rec;0.0
sepsis_1;cluster_laststate;rf;10;fscore;0.0
sepsis_1;cluster_laststate;rf;11;auc;0.493801652892562
sepsis_1;cluster_laststate;rf;11;prec;0.0
sepsis_1;cluster_laststate;rf;11;rec;0.0
sepsis_1;cluster_laststate;rf;11;fscore;0.0
sepsis_1;cluster_laststate;rf;12;auc;0.5118501529051988
sepsis_1;cluster_laststate;rf;12;prec;0.0
sepsis_1;cluster_laststate;rf;12;rec;0.0
sepsis_1;cluster_laststate;rf;12;fscore;0.0
sepsis_1;cluster_laststate;rf;13;auc;0.454599761051374
sepsis_1;cluster_laststate;rf;13;prec;0.0
sepsis_1;cluster_laststate;rf;13;rec;0.0
sepsis_1;cluster_laststate;rf;13;fscore;0.0
sepsis_1;cluster_laststate;rf;14;auc;0.4967948717948718
sepsis_1;cluster_laststate;rf;14;prec;0.0
sepsis_1;cluster_laststate;rf;14;rec;0.0
sepsis_1;cluster_laststate;rf;14;fscore;0.0
sepsis_1;cluster_laststate;rf;15;auc;0.5192307692307693
sepsis_1;cluster_laststate;rf;15;prec;0.0
sepsis_1;cluster_laststate;rf;15;rec;0.0
sepsis_1;cluster_laststate;rf;15;fscore;0.0
sepsis_1;cluster_laststate;rf;16;auc;0.6062500000000001
sepsis_1;cluster_laststate;rf;16;prec;0.0
sepsis_1;cluster_laststate;rf;16;rec;0.0
sepsis_1;cluster_laststate;rf;16;fscore;0.0
sepsis_1;cluster_laststate;rf;17;auc;0.6025641025641026
sepsis_1;cluster_laststate;rf;17;prec;0.0
sepsis_1;cluster_laststate;rf;17;rec;0.0
sepsis_1;cluster_laststate;rf;17;fscore;0.0
sepsis_1;cluster_laststate;rf;18;auc;0.2956989247311828
sepsis_1;cluster_laststate;rf;18;prec;0.0
