dataset;method;score
bpic2015_3_f2;state_agg_logit;0.028985507246376805
bpic2015_3_f2;state_agg_rf;0.10810810810810813
bpic2015_3_f2;state_agg_svm;0.15384615384615385
bpic2015_3_f2;state_agg_xgboost;0.30612244897959184
bpic2015_3_f2;state_laststate_catboost;0.3214285714285714
bpic2015_3_f2;state_laststate_logit;0.19753086419753085
bpic2015_3_f2;state_laststate_rf;0.2795698924731183
bpic2015_3_f2;state_laststate_svm;0.0
bpic2015_3_f2;state_laststate_xgboost;0.3137254901960784
bpic2015_4_f2;cluster_agg_catboost;0.3333333333333333
bpic2015_4_f2;cluster_agg_logit;0.0
bpic2015_4_f2;cluster_agg_rf;0.27027027027027023
bpic2015_4_f2;cluster_agg_svm;0.0
bpic2015_4_f2;cluster_agg_xgboost;0.3137254901960784
bpic2015_4_f2;cluster_laststate_catboost;0.35000000000000003
bpic2015_4_f2;cluster_laststate_logit;0.0
bpic2015_4_f2;cluster_laststate_rf;0.3
bpic2015_4_f2;cluster_laststate_svm;0.0
bpic2015_4_f2;cluster_laststate_xgboost;0.3076923076923077
bpic2015_4_f2;prefix_agg_catboost;0.33333333333333337
bpic2015_4_f2;prefix_agg_logit;0.0
bpic2015_4_f2;prefix_agg_rf;0.31578947368421056
bpic2015_4_f2;prefix_agg_svm;0.0
bpic2015_4_f2;prefix_agg_xgboost;0.29166666666666663
bpic2015_4_f2;prefix_index_catboost;0.31999999999999995
bpic2015_4_f2;prefix_index_logit;0.0
bpic2015_4_f2;prefix_index_rf;0.3333333333333333
bpic2015_4_f2;prefix_index_svm;0.0
bpic2015_4_f2;prefix_index_xgboost;0.36
bpic2015_4_f2;prefix_laststate_catboost;0.2608695652173913
bpic2015_4_f2;prefix_laststate_logit;0.0
bpic2015_4_f2;prefix_laststate_rf;0.4285714285714285
bpic2015_4_f2;prefix_laststate_svm;0.0
bpic2015_4_f2;prefix_laststate_xgboost;0.32558139534883723
bpic2015_4_f2;single_agg_catboost;0.32558139534883723
bpic2015_4_f2;single_agg_logit;0.0
bpic2015_4_f2;single_agg_rf;0.32432432432432423
bpic2015_4_f2;single_agg_svm;0.0
bpic2015_4_f2;single_agg_xgboost;0.2727272727272727
bpic2015_4_f2;single_laststate_catboost;0.25641025641025644
bpic2015_4_f2;single_laststate_logit;0.0
bpic2015_4_f2;single_laststate_rf;0.2222222222222222
bpic2015_4_f2;single_laststate_svm;0.0
bpic2015_4_f2;single_laststate_xgboost;0.28
bpic2015_4_f2;state_agg_catboost;0.3684210526315789
bpic2015_4_f2;state_agg_logit;0.0
bpic2015_4_f2;state_agg_rf;0.0
bpic2015_4_f2;state_agg_svm;0.0
bpic2015_4_f2;state_agg_xgboost;0.25531914893617025
bpic2015_4_f2;state_laststate_catboost;0.33333333333333337
bpic2015_4_f2;state_laststate_logit;0.0
bpic2015_4_f2;state_laststate_rf;0.4
bpic2015_4_f2;state_laststate_svm;0.0
bpic2015_4_f2;state_laststate_xgboost;0.27450980392156865
bpic2015_5_f2;cluster_agg_catboost;0.5066666666666667
bpic2015_5_f2;cluster_agg_logit;0.2058823529411765
bpic2015_5_f2;cluster_agg_rf;0.41860465116279066
bpic2015_5_f2;cluster_agg_svm;0.0
bpic2015_5_f2;cluster_agg_xgboost;0.5040650406504065
bpic2015_5_f2;cluster_laststate_catboost;0.4504504504504505
